Account_Number,Batch_Number,Lab_Number,PosNo,Assoc_Number,Line_Number,Date_Sampled,Date_Received,Date_Reported,Grower,Field_ID,Sample_ID,Submitted_by,Company,Address_1,Address_2,City_State_Zip,Depth_1,Soil_pH,Buffer_pH,Lime_Legume_T_A,Lime_Non_T_A,Excess_Lime,Soluble_Salts,OM_pct,NO3_D1_ppm,NO3_D1_lbs_A,NO3_D2_ppm,NO3_D2_lbs_A,NO3_D3_ppm,NO3_D3_lbs_A,NO3_Total_lbs_A,NO3_Total_Depth,Bray_P1_ppm,Bicarb_P_ppm,Bray_P2_ppm,Mehlich2_P_ppm,Mehlich3_P_ppm,SO4_ppm,ExchK_ppm,ExchCa_ppm,ExchMg_ppm,ExchNa_ppm,Zn_ppm,Fe_ppm,Mn_ppm,Cu_ppm,Boron_ppm,CEC_me_100g,Base_Sat_pct,H_Sat_pct,Ca_Sat_pct,Mg_Sat_pct,K_Sat_pct,Na_Sat_pct,SOL_Ca_me_L,SOL_Mg_me_L,SOL_Na_me_L,SAR,ESP,Gypsum_T_A,Sand_pct,Silt_pct,Clay_pct,Soil_Texture,Cl_D1_ppm,Cl_D1_lbs_A,Cl_D2_ppm,Cl_D2_lbs_A,Cl_Total_lbs_A,NH4_D1_ppm,NH4_D1_lbs_A,Al_ppm,Total_Nitrogen_pct,xCrop_Name,xCrop_Yield_Unit,xRec_N_lbs_A,xRec_P2O5_lbs_A,xRec_K2O_lbs_A,xRec_S_lbs_A,xRec_Zn_lbs_A,xRec_MgO_lbs_A,xRec_Fe_lbs_A,xRec_Mn_lbs_A,xRec_Cu_lbs_A,xRec_B_lbs_A,xRec_Cl_lbs_A,xRec_Lime_T_A,HM_As_ppm,HM_Ba_ppm,HM_Cd_ppm,HM_Cr_ppm,HM_Co_ppm,HM_Pb_ppm,HM_Mo_ppm,HM_Ni_ppm,HM_Se_ppm,HM_Ag_ppm
42150,42700,310506,,123328,5,,4/27/2000,5/3/2000,PCP,,S5-5-3: 25-36,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,25-36,7.5,,,,N,0.72,0.8,0.1,1,,,,,1,,,6,,,,36,112,990,298,132,0.4,39.6,43.9,2,0.6,8.3,100,0,58,30,3,9,,,,7.21,9,0.6,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,
42150,42700,310507,,123329,2,,4/27/2000,5/3/2000,PCP,,S6-5-1: 0-12,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-12,7.9,,,,N,0.72,4.6,28,102,,,,,102,,,55,,,,12,348,2860,779,52,6.5,67.5,13.9,4.5,1.2,21.9,100,0,66,30,4,0,,,,0.58,0,0,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,
42150,42700,310508,,123329,3,,4/27/2000,5/3/2000,PCP,,S7-5-1: 0-12,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-12,7.9,,,,N,0.62,1.8,0.8,3,,,,,3,,,13,,,,17,113,1090,393,247,1.4,78.5,33.4,3.5,1,10.1,100,0,51,32,3,14,,,,11.61,14,0,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,
42150,42700,310509,,123327,6,,4/27/2000,5/3/2000,PCP,,S7-5-2: 13-24,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,13-24,8,,,,N,0.6,0.6,1.3,4,,,,,4,,,6,,,,13,55,1280,572,223,0.2,43.1,18.9,1.7,0.6,12.3,100,0,49,39,1,11,,,,9.02,11,0,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,
42150,42700,310510,,123328,6,,4/27/2000,5/3/2000,PCP,,S7-5-3: 25-36,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,25-36,8,,,,N,0.78,0.2,1.1,4,,,,,4,,,4,,,,12,38,1380,737,175,0.1,31.4,12.5,1.2,0.3,13.9,100,0,47,44,1,8,,,,6.83,8,0,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312668,,124404,1,,7/6/2000,7/11/2000,PCP,,F3Z1R1,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,6.2,6.6,,,N,0.64,3.2,48,115,,,,,115,,,21,,,,12,582,790,214,94,2.6,139,81.5,4,1.1,11.6,66,34,34,15,13,4,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312669,,124404,2,,7/6/2000,7/11/2000,PCP,,F3Z1R2,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,6.1,6.8,,,N,0.78,3.6,56,133,,,,,133,,,24,,,,10,713,710,201,105,3.2,181,65.5,4,1.5,9.5,79,21,37,18,19,5,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312670,,124404,3,,7/6/2000,7/11/2000,PCP,,F3Z1R3,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,6.1,6.6,,,N,0.34,3.1,17,41,,,,,41,,,16,,,,10,464,750,201,50,3.1,129,87,4.5,0.6,10.8,63,37,35,15,11,2,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312672,,124404,5,,7/6/2000,7/11/2000,PCP,,F3Z2R2,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,6.3,6.8,,,N,0.54,3.3,50,120,,,,,120,,,21,,,,33,652,800,246,63,3,130,84.5,4,1.4,10,80,20,39,21,17,3,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312674,,124405,1,,7/6/2000,7/11/2000,PCP,,F3Z3R1,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,7,,,,N,0.34,1.8,12,29,,,,,29,,,10,,,,9,247,1030,266,160,1.3,49,76.5,3,1.1,8.7,100,0,60,25,7,8,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312675,,124405,2,,7/6/2000,7/11/2000,PCP,,F3Z3R2,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,6.5,6.8,,,N,0.52,3.1,33,78,,,,,78,,,18,,,,9,638,900,271,106,2.5,85.5,92,4.5,1.6,10.9,82,18,42,21,15,4,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312676,,124405,3,,7/6/2000,7/11/2000,PCP,,F3Z3R3,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,6.7,6.9,,,N,0.5,2.9,19,45,,,,,45,,,14,,,,10,495,980,258,144,2.2,47,77.5,3.5,1.2,9.9,90,10,49,22,13,6,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312677,,124405,4,,7/6/2000,7/11/2000,PCP,,F3Z4R1,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,7,,,,N,0.44,2.3,15,36,,,,,36,,,11,,,,9,331,1040,279,170,1.5,46.5,73,3.5,1.2,9.1,100,0,57,26,9,8,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312678,,124405,5,,7/6/2000,7/11/2000,PCP,,F3Z4R2,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,6.7,6.9,,,N,0.4,2.7,12,30,,,,,30,,,10,,,,9,256,1040,269,137,1.9,45.5,84,4,1.1,9.7,90,10,54,23,7,6,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312679,,124405,6,,7/6/2000,7/11/2000,PCP,,F3Z4R3,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,6.7,6.9,,,N,0.24,2.1,7.4,18,,,,,18,,,8,,,,9,190,1160,264,124,1.4,49.5,83.5,4,0.7,10,90,10,58,22,5,5,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312680,,124406,1,,7/6/2000,7/11/2000,PCP,,F5Z1R1,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,6.7,6.9,,,N,1.2,3,80,193,,,,,193,,,33,,,,11,358,1140,243,318,2.1,104,57.5,4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312681,,124406,2,,7/6/2000,7/11/2000,PCP,,F5Z1R2,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,6.4,6.8,,,N,0.96,3.5,67,162,,,,,162,,,35,,,,11,285,1090,253,256,2.7,147,51.5,5,0.9,11.4,82,18,48,18,6,10,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312682,,124406,3,,7/6/2000,7/11/2000,PCP,,F5Z1R3,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,6.3,6.8,,,N,0.86,2.7,41,99,,,,,99,,,33,,,,13,194,1120,214,172,2.2,148,50,5,1.5,10.6,81,19,52,17,5,7,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312683,,124406,4,,7/6/2000,7/11/2000,PCP,,F5Z2R1,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,7.7,,,,L,0.76,2.4,14,33,,,,,33,,,28,,,,11,267,1140,271,460,1.7,60.5,36.7,4.5,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312684,,124406,5,,7/6/2000,7/11/2000,PCP,,F5Z2R2,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,7.4,,,,L,0.58,1.6,22,52,,,,,52,,,22,,,,15,177,1080,260,332,1.2,49.5,37.2,3.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312685,,124406,6,,7/6/2000,7/11/2000,PCP,,F5Z2R3,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,7.2,,,,L,0.82,1.8,17,40,,,,,40,,,23,,,,26,133,1080,252,602,1.2,82.5,60.5,5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312686,,124408,1,,7/6/2000,7/11/2000,PCP,,F5Z3R1,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,6.9,6.9,,,N,0.52,2.2,13,30,,,,,30,,,33,,,,15,175,1030,257,402,2.1,159,51,6.5,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312687,,124408,2,,7/6/2000,7/11/2000,PCP,,F5Z3R2,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,7.4,,,,N,0.66,2.6,9.6,23,,,,,23,,,37,,,,15,328,1180,213,548,1.8,124,40,5.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312688,,124408,3,,7/6/2000,7/11/2000,PCP,,F5Z3R3,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,7.2,,,,N,0.56,3.1,13,31,,,,,31,,,44,,,,12,436,1240,237,363,2.2,146,39.7,4.5,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312689,,124408,4,,7/6/2000,7/11/2000,PCP,,F5Z4R1,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,6.4,6.8,,,N,0.58,1.9,12,28,,,,,28,,,26,,,,22,207,990,207,419,1.8,151,49,5.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312690,,124408,5,,7/6/2000,7/11/2000,PCP,,F5Z4R2,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,6.9,6.8,,,N,0.56,2.1,10,25,,,,,25,,,24,,,,12,172,1110,245,332,1.6,118,53.5,5.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312691,,124408,6,,7/6/2000,7/11/2000,PCP,,F5Z4R3,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,7.4,,,,N,0.68,1.9,2.6,6,,,,,6,,,30,,,,14,296,1160,209,500,1.3,82.5,39.6,4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312692,,124409,1,,7/6/2000,7/11/2000,PCP,,F8Z1R1,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,8.1,,,,L,1.22,2.1,1.4,3,,,,,3,,,155,,,,11,2870,1540,526,191,1.7,61.5,32.8,4.5,3.6,20.3,100,0,38,22,36,4,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312693,,124409,2,,7/6/2000,7/11/2000,PCP,,F8Z1R2,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,8.2,,,,L,1.06,2.4,0.7,2,,,,,2,,,174,,,,12,2715,1880,840,137,1.8,42.5,32.2,4.5,3.1,24,100,0,40,29,29,2,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312694,,124409,3,,7/6/2000,7/11/2000,PCP,,F8Z1R3,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,7.8,,,,L,0.88,1.5,0.8,2,,,,,2,,,61,,,,10,808,1940,595,142,1,52,27.2,2.5,0.7,17.3,100,0,55,29,12,4,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312695,,124409,4,,7/6/2000,7/11/2000,PCP,,F8Z2R1 BAG R3,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,7.6,,,,N,0.94,1,0.7,2,,,,,2,,,19,,,,9,457,2910,1050,163,0.8,36.6,25.5,2.3,1.1,25.2,100,0,57,35,5,3,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312696,,124409,5,,7/6/2000,7/11/2000,PCP,,F8Z2R2,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,7.6,,,,N,0.9,1.1,0.8,2,,,,,2,,,27,,,,8,544,3020,1180,165,0.7,31.4,26.7,2.3,1.1,27,100,0,56,36,5,3,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312697,,124409,6,,7/6/2000,7/11/2000,PCP,,F8Z2R3,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,7.6,,,,N,0.52,1.1,0.8,2,,,,,2,,,20,,,,9,328,2220,935,122,0.5,41.5,27.3,2.3,1.2,20.3,100,0,55,38,4,3,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312698,,124410,1,,7/6/2000,7/11/2000,PCP,,F8Z3R1,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,7.6,,,,L,0.96,1.1,1.7,4,,,,,4,,,9,,,,8,319,3560,945,90,0.5,32.9,27.8,2.3,0.9,26.9,100,0,67,29,3,1,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,
42150,70600,312699,,124410,2,,7/6/2000,7/11/2000,PCP,,F8Z3R2,DR MITCH JOHNS,,COLLEGE OF AGRICULTURE,CALIFORNIA ST UNIVERSITY-CHICO,CHICO CA 95929-0310,0-8,7.9,,,,L,0.88,0.7,0.5,1,,,,,1,,,8,,,,9,311,2700,1045,195,0.8,29.2,19.5,2.1,0.8,23.9,100,0,56,37,3,4,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,
